media_id,shortcode,link,likes,comments,views,dates
3398045470718101550,C8oSFocxwgu,https://www.instagram.com/reel/C8oSFocxwgu,30,0,179,2024-06-25 07:03:21
3393755808528764353,C8ZCu1Nxo3B,https://www.instagram.com/reel/C8ZCu1Nxo3B,92,0,554,2024-06-19 08:58:34
3388660850759128592,C8G8RcBxVYQ,https://www.instagram.com/reel/C8G8RcBxVYQ,15,0,67,2024-06-12 08:14:16
3384232294779114518,C73NVd3ttQW,https://www.instagram.com/reel/C73NVd3ttQW,238,4,1642,2024-06-06 05:33:46
3379284617495686338,C7loXSUxazC,https://www.instagram.com/reel/C7loXSUxazC,394,3,2181,2024-05-30 09:44:07
3373981932227940686,C7SyrD1CFFO,https://www.instagram.com/p/C7SyrD1CFFO,4,0,0,2024-05-23 02:06:50
3023919939182045081,Cn3HynMKqeZ,https://www.instagram.com/p/Cn3HynMKqeZ,15,0,0,2023-01-26 02:16:09
2834463642008045190,CdWCaoupkaG,https://www.instagram.com/p/CdWCaoupkaG,33,1,0,2022-05-09 16:40:18
2746685594228154204,CYeL_7Rpt9c,https://www.instagram.com/p/CYeL_7Rpt9c,21,0,0,2022-01-08 14:01:00
2348102343608596284,CCWIqQHDXc8,https://www.instagram.com/p/CCWIqQHDXc8,28,1,0,2020-07-07 15:27:13
1673197886798923718,Bc4ZJzxlYfG,https://www.instagram.com/p/Bc4ZJzxlYfG,35,4,0,2017-12-19 10:52:33
1630805731824792885,BahySw3FnU1,https://www.instagram.com/p/BahySw3FnU1,30,0,0,2017-10-21 23:06:54
1630805631555620298,BahyRTelE3K,https://www.instagram.com/p/BahyRTelE3K,32,0,0,2017-10-21 23:06:42
1630805198686694142,BahyLAVlKr-,https://www.instagram.com/p/BahyLAVlKr-,32,1,0,2017-10-21 23:05:50
1570398943367830334,BXLLYTHFps-,https://www.instagram.com/p/BXLLYTHFps-,26,0,0,2017-07-30 14:49:24
